"departure","datetime","delay","destination","track","trainType","trainNum"
" Silly","2014-11-20 09:59:00","00:00:00","Anvers-Central","1","IR","3108"
" Bellem","2014-11-20 09:59:00","00:07:00","Bruges","2","L","580"
" Bertrix","2014-11-20 09:59:00","00:00:00","Libramont","2","L","6058"
" Bierges-Walibi","2014-11-20 09:59:00","00:00:00","Louvain","2","L","6480"
" Bruxelles-Central","2014-11-20 09:59:00","00:00:00","Schaerbeek","1","IC","1908"
" Bruxelles-Central","2014-11-20 09:59:00","00:00:00","Mouscron","2","IC","1931"
" Bruxelles-Luxembourg","2014-11-20 09:59:00","00:00:00","Bruxelles-Midi","1","L","6580"
" Bruxelles-Midi","2014-11-20 09:59:00","00:00:00","Termonde","9","L","5310"
" Buda","2014-11-20 09:59:00","00:00:00","Bruxelles-Midi","2","L","6380"
" Buizingen","2014-11-20 09:59:00","00:00:00","Braine-le-Comte","1","L","3780"
" Cambron-Casteau","2014-11-20 09:59:00","00:00:00","Ath","2","L","4180"
" Charleroi-Ouest","2014-11-20 09:59:00","00:00:00","Ottignies","2","L","4580"
" Ciney","2014-11-20 09:59:00","00:00:00","Bruxelles-Midi","3","IC","2131"
" De Hoek","2014-11-20 09:59:00","00:00:00","Nivelles","1","IR","2830"
" Godarville","2014-11-20 09:59:00","00:00:00","Charleroi-Sud","1","L","4379"
" Gouy-lez-Piéton","2014-11-20 09:59:00","00:00:00","Braine-le-Comte","2","L","4360"
" Hamoir","2014-11-20 09:59:00","00:00:00","Jemelle","1","L","5559"
" Iddergem","2014-11-20 09:59:00","00:00:00","Alost","2","L","1780"
" Izegem","2014-11-20 09:59:00","00:00:00","Ostende","1","IC","830"
" Louvain","2014-11-20 09:59:00","00:00:00","Liège-Guillemins","4","IC","1708"
" Liège-Guillemins","2014-11-20 09:59:00","00:00:00","Bruxelles-Midi","7","IC","2431"
" Mérode","2014-11-20 09:59:00","00:00:00","Hal","2","L","3380"
" Moensberg","2014-11-20 09:59:00","00:00:00","Bruxelles-Luxembourg","2","L","6109"
" Mol","2014-11-20 09:59:00","00:00:00","Anvers-Central","1","IR","3230"
" Mortsel","2014-11-20 09:59:00","00:00:00","Anvers-Central","1","L","2880"
" Pepinster","2014-11-20 09:59:00","00:27:00","Verviers-Central","2","L","5259"
" Saint-Job","2014-11-20 09:59:00","00:00:00","Hal","1","L","6130"
" Wavre","2014-11-20 09:59:00","00:00:00","Ottignies","2","L","6459"
" Wespelaar-Tildonk","2014-11-20 09:59:00","00:00:00","Courtrai","2","IR","4131"
" Aalter","2014-11-20 09:58:00","00:00:00","Malines","2","L","559"
" Anvers-Central","2014-11-20 09:58:00","00:00:00","Bruxelles-Midi","12","L","6381"
" Anvers-Noorderdokken","2014-11-20 09:58:00","00:07:00","Roosendaal","1","L","2559"
" Anvers-Berchem","2014-11-20 09:58:00","00:00:00","Anvers-Central","8","L","6358"
" Blanmont","2014-11-20 09:58:00","00:00:00","Namur","1","L","6259"
" Brugelette","2014-11-20 09:58:00","00:00:00","Mons","1","L","4159"
" Bruxelles-Schuman","2014-11-20 09:58:00","00:00:00","Louvain-la-Neuve-Université","2","L","6559"
" De Pinte","2014-11-20 09:58:00","00:05:00","La Panne","3","IR","3631"
" Ekeren","2014-11-20 09:58:00","00:00:00","Puurs","2","L","2580"
" Franière","2014-11-20 09:58:00","00:00:00","Tournai","1","IR","3809"
" Gendron-Celles","2014-11-20 09:58:00","00:00:00","Dinant","2","L","6080"
" Godarville","2014-11-20 09:58:00","00:00:00","La Louvière-Sud","2","L","4259"
" Haacht","2014-11-20 09:58:00","00:00:00","Louvain","1","IR","4108"
" Hasselt","2014-11-20 09:58:00","00:13:00","Tongres","3","IC","1507"
" Herent","2014-11-20 09:58:00","00:00:00","Braine-le-Comte","1","L","3781"
" Heverlee","2014-11-20 09:58:00","00:00:00","Louvain","1","L","3079"
" Huy","2014-11-20 09:58:00","00:14:00","Liège-Palais","4","L","4980"
" Jette","2014-11-20 09:58:00","00:05:00","Alost","1","L","2159"
" Kessel","2014-11-20 09:58:00","00:00:00","Anvers-Central","2","L","2980"
" Louvain","2014-11-20 09:58:00","00:00:00","Knokke","7","IC","1531"
" Louvain","2014-11-20 09:58:00","00:00:00","Ottignies","0","L","3060"
" Lodelinsart","2014-11-20 09:58:00","00:08:00","Tamines","1","L","4559"
" Manage","2014-11-20 09:58:00","00:00:00","Luttre","2","L","4280"
" Marbehan","2014-11-20 09:58:00","00:00:00","Bruxelles-Midi","2","IC","2132"
" Mons","2014-11-20 09:58:00","00:00:00","Jambes","6","IR","3831"
" Mouscron","2014-11-20 09:58:00","00:00:00","Courtrai","1","IR","3130"
" Moustier","2014-11-20 09:58:00","00:00:00","Jambes","1","IR","3830"
" Pry","2014-11-20 09:58:00","00:00:00","Charleroi-Sud","2","L","4680"
" Sclaigneaux","2014-11-20 09:58:00","00:10:00","Namur","1","L","5659"
" Tirlemont","2014-11-20 09:58:00","00:00:00","Landen","3","IC","2630"
