"from_station","plan_time_arr","delay","current_station","id_train","to_station"
"TORINO STURA","2014-11-20 08:59:00","-2","FOSSANO","4126","FOSSANO"
"FORMIA-GAETA","2014-11-20 08:59:00","2","ROMA TERMINI","21890","ROMA TERMINI"
"SANTHIA`","2014-11-20 08:59:00","4","BIELLA S.PAOLO","4781","BIELLA S.PAOLO"
"SASSARI","2014-11-20 08:59:00","-3","OZIERI CHILIVANI","8941","OZIERI CHILIVANI"
"GROSSETO","2014-11-20 08:59:00","2","LIVORNO CENTRALE","6676","LIVORNO CENTRALE"
"BERGAMO","2014-11-20 08:59:00","27","MILANO PORTA GARIBALDI","10762","MILANO PORTA GARIBALDI"
"FOLIGNO","2014-11-20 08:59:00","-1","ANCONA MARITTIMA","21678","ANCONA MARITTIMA"
"TORINO STURA","2014-11-20 08:59:00","-2","FOSSANO","4126","FOSSANO"
"CARNIA","2014-11-20 08:59:00","5","UDINE","6023","UDINE"
"SARONNO","2014-11-20 08:59:00","18","SEREGNO","30426","SEREGNO"
"IVREA","2014-11-20 08:58:00","-5","NOVARA","4312","NOVARA"
"TERNI","2014-11-20 08:58:00","5","L`AQUILA","7033","L`AQUILA"
"POZZUOLI SOLFATARA","2014-11-20 08:58:00","6","VILLA LITERNO","22518","VILLA LITERNO"
"PISTOIA","2014-11-20 08:58:00","4","FIRENZE CAMPO MARTE","6609","FIRENZE CAMPO MARTE"
"IMPERIA ONEGLIA","2014-11-20 08:58:00","0","VENTIMIGLIA","6204","VENTIMIGLIA"
"FABRIANO","2014-11-20 08:58:00","3","CIVITANOVA MARCHE","7092","CIVITANOVA MARCHE"
"IVREA","2014-11-20 08:58:00","-5","NOVARA","4312","NOVARA"
"PORRETTA  TERME","2014-11-20 08:58:00","-2","BOLOGNA C.LE","11614","BOLOGNA C.LE"
"VENEZIA SANTA LUCIA","2014-11-20 08:58:00","3","TRIESTE CENTRALE","11002","TRIESTE CENTRALE"
